rut;pregunta_id;alternativa_dada
1-1752861555107;1;A
2-1752861555116;1;A
3-1752861555120;1;A
4-1752861555124;1;A
5-1752861555128;1;A
6-1752861555130;1;A
7-1752861555131;1;A
8-1752861555132;1;A
9-1752861555133;1;A
10-1752861555135;1;A
11-1752861555137;1;A
12-1752861555140;1;A
13-1752861555143;1;A
14-1752861555145;1;A
15-1752861555147;1;A
16-1752861555148;1;A
17-1752861555149;1;A
18-1752861555150;1;A
19-1752861555151;1;A
20-1752861555152;1;A
21-1752861555153;1;A
22-1752861555154;1;A
23-1752861555156;1;A
24-1752861555157;1;A
25-1752861555159;1;B
26-1752861555161;1;A
27-1752861555162;1;A
28-1752861555164;1;A
29-1752861555166;1;A
30-1752861555168;1;C
31-1752861555170;1;A
32-1752861555172;1;A
33-1752861555172;1;A
34-1752861555173;1;A
35-1752861555174;1;A
36-1752861555176;1;A
37-1752861555178;1;A
38-1752861555179;1;A
1-1752861555107;2;C
2-1752861555116;2;C
3-1752861555120;2;C
4-1752861555124;2;C
5-1752861555128;2;C
6-1752861555130;2;C
7-1752861555131;2;C
8-1752861555132;2;C
9-1752861555133;2;C
10-1752861555135;2;C
11-1752861555137;2;C
12-1752861555140;2;C
13-1752861555143;2;C
14-1752861555145;2;C
15-1752861555147;2;C
16-1752861555148;2;C
17-1752861555149;2;C
18-1752861555150;2;C
19-1752861555151;2;C
20-1752861555152;2;C
21-1752861555153;2;C
22-1752861555154;2;C
23-1752861555156;2;
24-1752861555157;2;C
25-1752861555159;2;C
26-1752861555161;2;C
27-1752861555162;2;C
28-1752861555164;2;C
29-1752861555166;2;C
30-1752861555168;2;C
31-1752861555170;2;C
32-1752861555172;2;C
33-1752861555172;2;
34-1752861555173;2;B
35-1752861555174;2;C
36-1752861555176;2;A
37-1752861555178;2;A
38-1752861555179;2;A
1-1752861555107;3;B
2-1752861555116;3;B
3-1752861555120;3;B
4-1752861555124;3;B
5-1752861555128;3;B
6-1752861555130;3;B
7-1752861555131;3;B
8-1752861555132;3;B
9-1752861555133;3;B
10-1752861555135;3;B
11-1752861555137;3;B
12-1752861555140;3;B
13-1752861555143;3;B
14-1752861555145;3;B
15-1752861555147;3;B
16-1752861555148;3;B
17-1752861555149;3;B
18-1752861555150;3;B
19-1752861555151;3;B
20-1752861555152;3;B
21-1752861555153;3;B
22-1752861555154;3;B
23-1752861555156;3;A
24-1752861555157;3;B
25-1752861555159;3;A
26-1752861555161;3;C
27-1752861555162;3;B
28-1752861555164;3;B
29-1752861555166;3;B
30-1752861555168;3;C
31-1752861555170;3;B
32-1752861555172;3;B
33-1752861555172;3;B
34-1752861555173;3;C
35-1752861555174;3;C
36-1752861555176;3;B
37-1752861555178;3;B
38-1752861555179;3;C
1-1752861555107;4;C
2-1752861555116;4;C
3-1752861555120;4;C
4-1752861555124;4;C
5-1752861555128;4;C
6-1752861555130;4;C
7-1752861555131;4;C
8-1752861555132;4;C
9-1752861555133;4;C
10-1752861555135;4;C
11-1752861555137;4;C
12-1752861555140;4;C
13-1752861555143;4;C
14-1752861555145;4;C
